"","unique.date","crime_frequency","year","month","day","binary"
"1",2006-01-01,606,2006,1,1,0
"2",2006-01-02,589,2006,1,2,0
"3",2006-01-03,629,2006,1,3,0
"4",2006-01-04,699,2006,1,4,0
"5",2006-01-05,594,2006,1,5,0
"6",2006-01-06,599,2006,1,6,0
"7",2006-01-07,611,2006,1,7,0
"8",2006-01-08,639,2006,1,8,0
"9",2006-01-09,668,2006,1,9,0
"10",2006-01-10,626,2006,1,10,0
"11",2006-01-11,656,2006,1,11,0
"12",2006-01-12,709,2006,1,12,0
"13",2006-01-13,599,2006,1,13,0
"14",2006-01-14,560,2006,1,14,0
"15",2006-01-15,479,2006,1,15,0
"16",2006-01-16,661,2006,1,16,0
"17",2006-01-17,635,2006,1,17,0
"18",2006-01-18,634,2006,1,18,0
"19",2006-01-19,647,2006,1,19,0
"20",2006-01-20,654,2006,1,20,0
"21",2006-01-21,648,2006,1,21,0
"22",2006-01-22,632,2006,1,22,0
"23",2006-01-23,606,2006,1,23,0
"24",2006-01-24,674,2006,1,24,0
"25",2006-01-25,612,2006,1,25,0
"26",2006-01-26,565,2006,1,26,0
"27",2006-01-27,562,2006,1,27,0
"28",2006-01-28,620,2006,1,28,0
"29",2006-01-29,649,2006,1,29,0
"30",2006-01-30,658,2006,1,30,0
"31",2006-01-31,639,2006,1,31,0
"32",2006-02-01,718,2006,2,1,0
"33",2006-02-02,678,2006,2,2,0
"34",2006-02-03,618,2006,2,3,0
"35",2006-02-04,574,2006,2,4,0
"36",2006-02-05,614,2006,2,5,0
"37",2006-02-06,551,2006,2,6,0
"38",2006-02-07,658,2006,2,7,0
"39",2006-02-08,631,2006,2,8,0
"40",2006-02-09,538,2006,2,9,0
"41",2006-02-10,567,2006,2,10,0
"42",2006-02-11,516,2006,2,11,0
"43",2006-02-12,264,2006,2,12,0
"44",2006-02-13,410,2006,2,13,0
"45",2006-02-14,509,2006,2,14,0
"46",2006-02-15,579,2006,2,15,0
"47",2006-02-16,562,2006,2,16,0
"48",2006-02-17,553,2006,2,17,0
"49",2006-02-18,578,2006,2,18,0
"50",2006-02-19,529,2006,2,19,0
"51",2006-02-20,743,2006,2,20,0
"52",2006-02-21,611,2006,2,21,0
"53",2006-02-22,628,2006,2,22,0
"54",2006-02-23,578,2006,2,23,0
"55",2006-02-24,543,2006,2,24,0
"56",2006-02-25,575,2006,2,25,0
"57",2006-02-26,495,2006,2,26,0
"58",2006-02-27,511,2006,2,27,0
"59",2006-02-28,563,2006,2,28,0
"60",2006-03-01,609,2006,3,1,0
"61",2006-03-02,538,2006,3,2,0
"62",2006-03-03,479,2006,3,3,0
"63",2006-03-04,548,2006,3,4,0
"64",2006-03-05,678,2006,3,5,0
"65",2006-03-06,592,2006,3,6,0
"66",2006-03-07,596,2006,3,7,0
"67",2006-03-08,610,2006,3,8,0
"68",2006-03-09,622,2006,3,9,0
"69",2006-03-10,545,2006,3,10,0
"70",2006-03-11,667,2006,3,11,0
"71",2006-03-12,622,2006,3,12,0
"72",2006-03-13,648,2006,3,13,0
"73",2006-03-14,624,2006,3,14,0
"74",2006-03-15,567,2006,3,15,0
"75",2006-03-16,608,2006,3,16,0
"76",2006-03-17,580,2006,3,17,0
"77",2006-03-18,631,2006,3,18,0
"78",2006-03-19,587,2006,3,19,0
"79",2006-03-20,554,2006,3,20,0
"80",2006-03-21,629,2006,3,21,0
"81",2006-03-22,574,2006,3,22,0
"82",2006-03-23,609,2006,3,23,0
"83",2006-03-24,589,2006,3,24,0
"84",2006-03-25,575,2006,3,25,0
"85",2006-03-26,572,2006,3,26,0
"86",2006-03-27,628,2006,3,27,0
"87",2006-03-28,658,2006,3,28,0
"88",2006-03-29,629,2006,3,29,0
"89",2006-03-30,654,2006,3,30,0
"90",2006-03-31,605,2006,3,31,0
"91",2006-04-01,603,2006,4,1,0
"92",2006-04-02,544,2006,4,2,0
"93",2006-04-03,560,2006,4,3,0
"94",2006-04-04,641,2006,4,4,0
"95",2006-04-05,552,2006,4,5,0
"96",2006-04-06,617,2006,4,6,0
"97",2006-04-07,602,2006,4,7,0
"98",2006-04-08,583,2006,4,8,0
"99",2006-04-09,632,2006,4,9,0
"100",2006-04-10,744,2006,4,10,0
"101",2006-04-11,721,2006,4,11,0
"102",2006-04-12,742,2006,4,12,0
"103",2006-04-13,698,2006,4,13,0
"104",2006-04-14,654,2006,4,14,0
"105",2006-04-15,691,2006,4,15,0
"106",2006-04-16,551,2006,4,16,0
"107",2006-04-17,641,2006,4,17,0
"108",2006-04-18,685,2006,4,18,0
"109",2006-04-19,713,2006,4,19,0
"110",2006-04-20,660,2006,4,20,0
"111",2006-04-21,618,2006,4,21,0
"112",2006-04-22,490,2006,4,22,0
"113",2006-04-23,581,2006,4,23,0
"114",2006-04-24,665,2006,4,24,0
"115",2006-04-25,659,2006,4,25,0
"116",2006-04-26,662,2006,4,26,0
"117",2006-04-27,626,2006,4,27,0
"118",2006-04-28,595,2006,4,28,0
"119",2006-04-29,603,2006,4,29,0
