,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,10-Sep-06,1:02PM ET,boxscore,W,,1-0,@,Houston Texans,24,10,24,441,311,130,1,19,241,171,70,,17.65,-1.35,-1.71
2,Sun,17-Sep-06,1:02PM ET,boxscore,L,OT,01-Jan,,New York Giants,24,30,23,451,344,107,1,24,404,318,86,1,4.67,-6.99,-3.68
3,Sun,24-Sep-06,4:15PM ET,boxscore,W,,01-Feb,@,San Francisco 49ers,38,24,16,416,266,150,1,23,392,269,123,2,13.08,6.23,-1.97
4,Mon,02-Oct-06,8:40PM ET,boxscore,W,,01-Mar,,Green Bay Packers,31,9,23,398,267,131,2,20,318,219,99,3,3.84,17.91,-2.52
5,Sun,08-Oct-06,4:14PM ET,boxscore,W,,01-Apr,,Dallas Cowboys,38,24,16,383,331,52,2,23,320,174,146,5,-4.73,19.81,-3.17
6,Sun,15-Oct-06,1:02PM ET,boxscore,L,,02-Apr,@,New Orleans Saints,24,27,20,325,226,99,2,22,373,275,98,2,8.58,-5.03,-6.17
7,Sun,22-Oct-06,1:02PM ET,boxscore,L,,03-Apr,@,Tampa Bay Buccaneers,21,23,22,506,298,208,4,14,196,85,111,,2.15,4.05,-3.25
8,Sun,29-Oct-06,1:07PM ET,boxscore,L,,04-Apr,,Jacksonville Jaguars,6,13,14,227,142,85,,16,285,76,209,1,-9.89,7.37,-3.8
10,Sun,12-Nov-06,1:02PM ET,boxscore,W,,04-May,,Washington Redskins,27,3,18,400,255,145,,16,278,132,146,1,11.27,14.02,1.94
11,Sun,19-Nov-06,1:01PM ET,boxscore,L,,05-May,,Tennessee Titans,13,31,22,390,267,123,3,13,293,84,209,1,-17.6,4.96,-6.94
12,Sun,26-Nov-06,8:21PM ET,boxscore,L,,06-May,@,Indianapolis Colts,21,45,20,300,151,149,3,27,420,183,237,1,-0.35,-21.13,-4.01
13,Mon,04-Dec-06,8:40PM ET,boxscore,W,,06-Jun,,Carolina Panthers,27,24,18,402,304,98,,18,377,269,108,2,7.14,0.95,-5.15
14,Sun,10-Dec-06,1:03PM ET,boxscore,W,,06-Jul,@,Washington Redskins,21,19,14,263,164,99,1,20,415,205,210,2,4.82,3.86,-3.72
15,Sun,17-Dec-06,4:15PM ET,boxscore,W,,06-Aug,@,New York Giants,36,22,21,382,221,161,2,22,358,270,88,4,7.73,6.41,-1.72
16,Mon,25-Dec-06,5:07PM ET,boxscore,W,,06-Sep,@,Dallas Cowboys,23,7,20,426,222,204,1,16,201,118,83,3,10.91,6.55,1.77
17,Sun,31-Dec-06,4:13PM ET,boxscore,W,,06-Oct,,Atlanta Falcons,24,17,21,393,350,43,1,21,378,219,159,1,8.97,-1.08,-7.13
Wild Card,Sun,07-Jan-07,4:39PM ET,boxscore,W,,06-Nov,,New York Giants,23,20,19,323,138,185,,17,305,154,151,1,4.62,-2.25,1.56
Division,Sat,13-Jan-07,8:11PM ET,boxscore,L,,07-Nov,@,New Orleans Saints,24,27,14,355,232,123,,27,435,227,208,1,10.79,-12.41,-1.49
